created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2026-01-21T18:06:39+07:00,1,22.9,45.9,0,,105,1,1,,,,
2026-01-21T18:06:59+07:00,2,22.9,46,0,,105,1,1,,,,
2026-01-21T18:07:19+07:00,3,22.9,45.8,0,,105,1,1,,,,
2026-01-21T18:07:39+07:00,4,22.9,45.8,0,,105,1,1,,,,
2026-01-21T18:07:59+07:00,5,22.9,45.8,0,,105,1,1,,,,
2026-01-21T18:08:19+07:00,6,22.9,45.8,0,,105,1,1,,,,
2026-01-21T18:08:39+07:00,7,22.9,45.7,0,,105,1,1,,,,
2026-01-21T18:08:59+07:00,8,22.9,45.7,0,,105,1,1,,,,
2026-01-21T18:09:19+07:00,9,22.9,45.6,0,,105,1,1,,,,
2026-01-21T18:09:39+07:00,10,22.9,45.5,0,,105,1,1,,,,
2026-01-21T18:09:59+07:00,11,22.8,45.5,0,,105,1,1,,,,
2026-01-21T18:10:19+07:00,12,22.9,45.5,0,,105,1,1,,,,
2026-01-21T18:10:39+07:00,13,22.9,45.4,0,,105,1,1,,,,
2026-01-21T18:10:59+07:00,14,22.9,45.4,0,,105,1,1,,,,
2026-01-21T18:11:19+07:00,15,22.9,45.2,0,,105,1,1,,,,
2026-01-21T18:11:39+07:00,16,22.9,45.1,0,,105,1,1,,,,
2026-01-21T18:11:59+07:00,17,22.9,45.2,0,,105,1,1,,,,
2026-01-21T18:12:19+07:00,18,22.9,45.1,0,,105,1,1,,,,
2026-01-21T18:13:10+07:00,19,22.9,44.9,0,,105,0,0,,,,
2026-01-21T18:13:29+07:00,20,22.9,44.9,0,,105,0,0,,,,
2026-01-21T18:13:50+07:00,21,22.9,44.8,0,,105,0,0,,,,
2026-01-21T18:14:10+07:00,22,22.9,44.8,0,,105,0,0,,,,
2026-01-21T18:14:29+07:00,23,22.9,44.9,0,,103,0,0,,,,
2026-01-21T18:14:49+07:00,24,22.9,44.8,0,,105,0,0,,,,
2026-01-21T18:15:09+07:00,25,22.9,44.5,0,,105,0,0,,,,
2026-01-21T18:15:29+07:00,26,22.8,44.6,0,,103,0,0,,,,
2026-01-21T18:15:49+07:00,27,22.9,44.7,0,,105,0,0,,,,
2026-01-21T18:16:09+07:00,28,22.8,44.7,0,,105,0,0,,,,
2026-01-21T18:16:29+07:00,29,22.9,44.6,0,,105,0,0,,,,
2026-01-21T18:16:49+07:00,30,22.8,44.6,0,,105,0,0,,,,
2026-01-21T18:17:09+07:00,31,22.9,44.5,0,,105,0,0,,,,
2026-01-21T18:17:30+07:00,32,22.9,44.4,0,,105,0,0,,,,
2026-01-21T18:17:49+07:00,33,22.9,44.4,0,,105,0,0,,,,
2026-01-21T18:18:09+07:00,34,22.9,44.3,0,,105,0,0,,,,
2026-01-21T18:18:29+07:00,35,22.9,44.2,0,,105,0,0,,,,
2026-01-21T18:18:50+07:00,36,22.9,44.2,0,,105,0,0,,,,
2026-01-21T18:19:10+07:00,37,22.9,44.2,0,,103,0,0,,,,
2026-01-21T18:19:29+07:00,38,22.9,44.2,0,,103,0,0,,,,
2026-01-21T18:19:49+07:00,39,22.9,44.1,0,,105,0,0,,,,
2026-01-21T18:20:10+07:00,40,22.9,44.1,0,,103,0,0,,,,
2026-01-21T18:20:30+07:00,41,22.9,44.1,0,,105,0,0,,,,
2026-01-21T18:20:49+07:00,42,22.8,44.1,0,,105,0,0,,,,
2026-01-21T18:21:09+07:00,43,22.8,44.1,0,,105,0,0,,,,
2026-01-21T18:21:29+07:00,44,22.8,44,0,,103,0,0,,,,
2026-01-21T18:21:50+07:00,45,22.8,43.9,0,,105,0,0,,,,
2026-01-21T18:22:09+07:00,46,22.8,43.9,0,,103,0,0,,,,
2026-01-21T18:22:29+07:00,47,22.8,43.8,0,,105,0,0,,,,
2026-01-21T18:22:49+07:00,48,22.8,43.8,0,,105,0,0,,,,
2026-01-21T18:23:09+07:00,49,22.8,43.8,0,,105,0,0,,,,
2026-01-21T18:23:29+07:00,50,22.8,43.8,0,,105,0,0,,,,
2026-01-21T18:23:49+07:00,51,22.8,43.8,0,,103,0,0,,,,
2026-01-21T18:24:09+07:00,52,22.8,43.8,0,,105,0,0,,,,
2026-01-21T18:24:29+07:00,53,22.7,43.7,0,,105,0,0,,,,
2026-01-21T18:24:50+07:00,54,22.7,43.7,0,,105,0,0,,,,
2026-01-21T18:25:09+07:00,55,22.7,43.7,0,,105,0,0,,,,
2026-01-21T18:25:29+07:00,56,22.7,43.6,0,,103,0,0,,,,
2026-01-21T18:25:49+07:00,57,22.8,43.5,0,,105,0,0,,,,
2026-01-21T18:26:10+07:00,58,22.7,43.6,0,,105,0,0,,,,
2026-01-21T18:26:29+07:00,59,22.7,43.5,0,,103,0,0,,,,
2026-01-21T18:26:49+07:00,60,22.8,43.6,0,,103,0,0,,,,
2026-01-21T18:27:45+07:00,61,22.7,43.4,0,,103,0,0,,,,
2026-01-21T18:28:05+07:00,62,22.7,43.4,0,,103,0,0,,,,
2026-01-21T18:28:25+07:00,63,22.7,43.3,0,,103,0,0,,,,
2026-01-21T18:28:45+07:00,64,22.7,43.4,0,,105,0,0,,,,
2026-01-21T18:29:05+07:00,65,22.7,43.4,0,,103,0,0,,,,
2026-01-21T18:29:25+07:00,66,22.7,43.3,0,,105,0,0,,,,
2026-01-21T18:29:45+07:00,67,22.7,43.3,0,,103,0,0,,,,
2026-01-21T18:30:05+07:00,68,22.7,43.3,0,,103,0,0,,,,
2026-01-21T18:30:25+07:00,69,22.7,43.2,0,,103,0,0,,,,
2026-01-21T18:30:45+07:00,70,22.7,43.2,0,,105,0,0,,,,
2026-01-21T18:31:05+07:00,71,22.7,43.1,0,,105,0,0,,,,
2026-01-21T18:31:25+07:00,72,22.7,43.2,0,,108,0,0,,,,
2026-01-21T18:31:45+07:00,73,22.7,43.1,0,,105,0,0,,,,
2026-01-21T18:32:05+07:00,74,22.7,43.1,0,,105,0,0,,,,
2026-01-21T18:32:25+07:00,75,22.7,43.1,0,,105,0,0,,,,
2026-01-21T18:32:45+07:00,76,22.7,43,0,,103,0,0,,,,
2026-01-21T18:33:05+07:00,77,22.7,43,0,,105,0,0,,,,
2026-01-21T18:33:25+07:00,78,22.7,42.9,0,,103,0,0,,,,
2026-01-21T18:33:45+07:00,79,22.7,43,0,,105,0,0,,,,
2026-01-21T18:34:05+07:00,80,22.7,42.9,0,,103,0,0,,,,
2026-01-21T18:34:25+07:00,81,22.7,43,0,,103,0,0,,,,
2026-01-21T18:34:45+07:00,82,22.7,42.8,0,,100,0,0,,,,
2026-01-21T18:35:05+07:00,83,22.7,42.8,0,,103,0,0,,,,
2026-01-21T18:35:25+07:00,84,22.7,42.8,0,,100,0,0,,,,
2026-01-21T18:35:45+07:00,85,22.7,42.8,0,,103,0,0,,,,
2026-01-21T18:36:05+07:00,86,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:36:26+07:00,87,22.7,42.7,0,,105,0,0,,,,
2026-01-21T18:36:45+07:00,88,22.7,42.6,0,,103,0,0,,,,
2026-01-21T18:37:32+07:00,89,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:37:52+07:00,90,22.7,42.6,0,,103,0,0,,,,
2026-01-21T18:38:12+07:00,91,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:38:32+07:00,92,22.6,42.6,0,,105,0,0,,,,
2026-01-21T18:38:52+07:00,93,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:12+07:00,94,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:33+07:00,95,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:52+07:00,96,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:40:13+07:00,97,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:40:32+07:00,98,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:40:53+07:00,99,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:41:12+07:00,100,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:41:32+07:00,101,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:41:53+07:00,102,22.6,42.4,0,,105,0,0,,,,
2026-01-21T18:42:12+07:00,103,22.6,42.6,0,,105,0,0,,,,
2026-01-21T18:42:32+07:00,104,22.6,42.6,0,,103,0,0,,,,
2026-01-21T18:42:53+07:00,105,22.6,42.5,0,,103,0,0,,,,
